USER COMMAND,INSTRUCTIONS,INPUT,XML BEHAVIOR TREE OUTPUT
Carry out a coordinated rescue operation.,Use the following behaviors to generate XML Behavior tree based on the user command: perform_rescue: Subtree node (same as before). coordinate_with_swarm: Action node (same as before). on_rescue_call: Event node - Triggers when a rescue call is received from a trapped individual.,Carry out a coordinated rescue operation.,"
<BehaviorTree>
  <Sequence>
    <Condition>on_rescue_call</Condition>
    <Action>perform_rescue</Action>
    <Action>coordinate_with_swarm</Action>
  </Sequence>
</BehaviorTree>"
Create a map of the surrounding environment.,Use the following behaviors to generate XML Behavior tree based on the user command: explore_area: Subtree node (same as before). map_environment: Action node (same as before). on_map_requested: Event node - Triggers when a map request is received from a user.,Create a map of the surrounding environment.,"
<BehaviorTree>
  <Sequence>
    <Condition>on_map_requested</Condition>
    <Action>explore_area</Action>
    <Action>map_environment</Action>
  </Sequence>
</BehaviorTree>"
Perform a coordinated search and rescue mission with other swarm robots.,Use the following behaviors to generate XML Behavior tree based on the user command: search_area: Subtree node (same as before). coordinate_with_swarm: Action node (same as before). on_search_command: Event node - Triggers when a search command is received from the leader robot.,Perform a coordinated search and rescue mission with other swarm robots.,"
<BehaviorTree>
  <Sequence>
    <Condition>on_search_command</Condition>
    <Action>search_area</Action>
    <Action>coordinate_with_swarm</Action>
  </Sequence>
</BehaviorTree>"
Collaboratively transport a heavy object to a designated location.,Use the following behaviors to generate XML Behavior tree based on the user command: approach_object: Subtree node (same as before). transport_object: Action node (same as before). on_object_detected: Event node - Triggers when an object is detected in the environment.,Collaboratively transport a heavy object to a designated location.,"
<BehaviorTree>
  <Sequence>
    <Condition>on_object_detected</Condition>
    <Action>approach_object</Action>
    <Action>transport_object</Action>
  </Sequence>
</BehaviorTree>"
Navigate through a hazardous environment and report back findings.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_hazard: Subtree node (same as before). report_findings: Action node (same as before). on_endangerment_detected: Event node - Triggers when a hazardous situation is encountered.,Navigate through a hazardous environment and report back findings.,"
<BehaviorTree>
  <Sequence>
    <Condition>on_endangerment_detected</Condition>
    <Action>navigate_hazard</Action>
    <Action>report_findings</Action>
  </Sequence>
</BehaviorTree>"
"Collect resources, deposit in assigned location, and return to base using shortest path.",Use the following behaviors to generate XML Behavior tree based on the user command: collect_resources: Action node - Directs the agent to collect resources based on its assigned role. deposit_location: Condition node - Checks if the agent has reached the designated deposit location. return_to_base: Action node - Commands the agent to return to the base using the shortest path available.,"Collect resources, deposit in assigned location, and return to base using shortest path.","
<BehaviorTree>
<Sequence>
<Selector>
<Action>collect_resources</Action>
<Sequence>
<Condition>deposit_location</Condition>
<Action>return_to_base</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Follow a specific path while avoiding obstacles in real-time.,Use the following behaviors to generate XML Behavior tree based on the user command: follow_path: Action node - Guides the agent along a specified path while avoiding obstacles in real-time. check_obstacles: Condition node - Scans the environment for obstacles and returns True if any are detected.,Follow a specific path while avoiding obstacles in real-time.,"
<BehaviorTree>
<Sequence>
<Selector>
<Action>follow_path</Action>
<Condition>check_obstacles</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Gather data from designated locations and return all data to base.,Use the following behaviors to generate XML Behavior tree based on the user command: gather_data: Action node - Commands the agent to collect data from designated locations. gather_complete: Condition node - Checks if all data has been gathered. return_to_base: Action node - Instructs the agent to return to the base.,Gather data from designated locations and return all data to base.,"
<BehaviorTree>
<Sequence>
<Selector>
<Action>gather_data</Action>
<Sequence>
<Condition>gather_complete</Condition>
<Action>return_to_base</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Search and locate a specific object in a specified area.,Use the following behaviors to generate XML Behavior tree based on the user command: search_area: Action node - Commands the agent to search a designated area. locate_object: Action node - Instructs the agent to locate the specific object and return its location.,Search and locate a specific object in a specified area.,"
<BehaviorTree>
<Sequence>
<Action>search_area</Action>
<Action>locate_object</Action>
</Sequence>
</BehaviorTree>"
Avoid other robots while moving to a designated location.,Use the following behaviors to generate XML Behavior tree based on the user command: move_to_location: Action node - Commands the agent to move to the designated location. check_robots: Condition node - Scans the environment for other robots and returns True if any are detected.,Avoid other robots while moving to a designated location.,"
<BehaviorTree>
<Sequence>
<Selector>
<Action>move_to_location</Action>
<Condition>check_robots</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Form a perimeter with other robots to protect a designated area.,Use the following behaviors to generate XML Behavior tree based on the user command: move_to_position: Action node - Commands the agent to move to their designated position in the perimeter. form_perimeter: Action node - Instructs the agent to coordinate with other robots to form a protective perimeter around the designated area.,Form a perimeter with other robots to protect a designated area.,"
<BehaviorTree>
<Sequence>
<Action>move_to_position</Action>
<Action>form_perimeter</Action>
</Sequence>
</BehaviorTree>"
Communicate with other robots to complete a predetermined task.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - Commands the agent to communicate with other robots to effectively complete a task. check_task_complete: Condition node - Checks if the predetermined task has been completed.,Communicate with other robots to complete a predetermined task.,"
<BehaviorTree>
<Sequence>
<Selector>
<Action>communicate</Action>
<Condition>check_task_complete</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Harvest crops and transport them to a specified location.,Use the following behaviors to generate XML Behavior tree based on the user command: harvest_crops: Action node - Directs the agent to harvest the designated crops. transport_crops: Action node - Instructs the agent to transport the harvested crops to a specified location.,Harvest crops and transport them to a specified location.,"
<BehaviorTree>
<Sequence>
<Action>harvest_crops</Action>
<Action>transport_crops</Action>
</Sequence>
</BehaviorTree>"
Detect and avoid hazardous materials in the environment.,Use the following behaviors to generate XML Behavior tree based on the user command: detect_hazards: Condition node - Scans the environment for hazardous materials and returns True if any are detected. avoid_hazards: Action node - Commands the agent to avoid the hazardous materials.,Detect and avoid hazardous materials in the environment.,"
<BehaviorTree>
<Sequence>
<Selector>
<Condition>detect_hazards</Condition>
<Action>avoid_hazards</Action>
</Selector>
</Sequence>
</BehaviorTree>"
Coordinate with other robots to build a structure.,Use the following behaviors to generate XML Behavior tree based on the user command: gather_materials: Action node - Directs the agent to gather the necessary materials for the structure. build_structure: Action node - Commands the agent to coordinate with other robots to build the designated structure.,Coordinate with other robots to build a structure.,"
<BehaviorTree>
<Sequence>
<Action>gather_materials</Action>
<Action>build_structure</Action>
</Sequence>
</BehaviorTree>"
Locate and assist a lost robot in the environment.,Use the following behaviors to generate XML Behavior tree based on the user command: search_enviroment: Action node - Allows the agent to scan the environment to locate the lost robot. assist_robot: Action node - Commands the agent to assist the lost robot once located.,Locate and assist a lost robot in the environment.,"
<BehaviorTree>
<Sequence>
<Action>search_environment</Action>
<Action>assist_robot</Action>
</Sequence>
</BehaviorTree>"
Maintain communication and coordination within the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - Commands the agent to communicate with other robots within the swarm. coordinate_actions: Action node - Instructs the agent to coordinate their actions with other robots to ensure efficient completion of tasks.,Maintain communication and coordination within the swarm.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Action>coordinate_actions</Action>
</Sequence>
</BehaviorTree>"
Identify and locate the source of a signal.,Use the following behaviors to generate XML Behavior tree based on the user command: identify_signal: Action node - Commands the agent to identify the source of a designated signal. locate_source: Action node - Instructs the agent to locate the source once identified.,Identify and locate the source of a signal.,"
<BehaviorTree>
<Sequence>
<Action>identify_signal</Action>
<Action>locate_source</Action>
</Sequence>
</BehaviorTree>"
Navigate through a maze and reach the end.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_maze: Action node - Guides the agent through the maze using a predefined path algorithm. reach_end: Condition node - Checks if the agent has reached the end of the maze.,Navigate through a maze and reach the end.,"
<BehaviorTree>
<Sequence>
<Selector>
<Action>navigate_maze</Action>
<Condition>reach_end</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Identify and retrieve a specific object from a cluttered environment.,Use the following behaviors to generate XML Behavior tree based on the user command: identify_object: Action node - Commands the agent to identify the specific object among the clutter. retrieve_object: Action node - Instructs the agent to retrieve the identified object from the environment.,Identify and retrieve a specific object from a cluttered environment.,"
<BehaviorTree>
<Sequence>
<Action>identify_object</Action>
<Action>retrieve_object</Action>
</Sequence>
</BehaviorTree>"
Maintain energy levels by returning to a charging station.,Use the following behaviors to generate XML Behavior tree based on the user command: check_energy: Condition node - Checks the agent's energy levels and returns True if they are low. return_to_charging: Action node - Commands the agent to return to the charging station.,Maintain energy levels by returning to a charging station.,"
<BehaviorTree>
<Sequence>
<Selector>
<Condition>check_energy</Condition>
<Action>return_to_charging</Action>
</Selector>
</Sequence>
</BehaviorTree>"
Clear a blocked pathway and continue on the designated path.,Use the following behaviors to generate XML Behavior tree based on the user command: check_obstacles: Condition node - Scans the environment for obstacles and returns True if any are detected. clear_path: Action node - Commands the agent to clear the path and continue on the designated route.,Clear a blocked pathway and continue on the designated path.,"
<BehaviorTree>
<Sequence>
<Selector>
<Condition>check_obstacles</Condition>
<Action>clear_path</Action>
</Selector>
</Sequence>
</BehaviorTree>"
Collect samples from designated locations and return them to a research station.,Use the following behaviors to generate XML Behavior tree based on the user command: collect_samples: Action node - Directs the agent to collect samples from designated locations. return_to_station: Action node - Commands the agent to return to the research station with the collected samples.,Collect samples from designated locations and return them to a research station.,"
<BehaviorTree>
<Sequence>
<Action>collect_samples</Action>
<Action>return_to_station</Action>
</Sequence>
</BehaviorTree>"
"Search for and collect resources until inventory is full, then return to base to drop off resources.",Use the following behaviors to generate XML Behavior tree based on the user command: search_for_resources: Action node (same as before). collect_resource: Action node (same as before). return_to_base: Action node (same as before). inventory_full: Condition node - checks if the agent's inventory is at maximum capacity.,"Search for and collect resources until inventory is full, then return to base to drop off resources.","
<BehaviorTree>
<Sequence>
<Sequence>
<Condition>inventory_full</Condition>
<Sequence>
<Action>search_for_resources</Action>
<Action>collect_resource</Action>
</Sequence>
<Action>return_to_base</Action>
</Sequence>
</BehaviorTree>"
Communicate with other robots in the swarm to perform a coordinated attack on a target.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - sends a message to other robots in the swarm. coordinate_attack: Action node - performs coordinated attack with other robots in the swarm. attack_target: Action node - attacks the designated target. receive_message: Condition node - checks if a message has been received from another robot.,Communicate with other robots in the swarm to perform a coordinated attack on a target.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Sequence>
<Condition>receive_message</Condition>
<Sequence>
<Action>coordinate_attack</Action>
<Action>attack_target</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
"Navigate through a maze, avoiding obstacles and enemies.",Use the following behaviors to generate XML Behavior tree based on the user command: navigate_maze: Subtree node - uses move_to_target to navigate through the maze. avoid_obstacles: Condition node - checks for any obstacles in the agent's path. avoid_enemies: Condition node - checks for any enemy robots in the agent's path.,"Navigate through a maze, avoiding obstacles and enemies.","
<BehaviorTree>
<Sequence>
<Action>navigate_maze</Action>
<Selector>
<Condition>avoid_obstacles</Condition>
<Condition>avoid_enemies</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Work together with other robots to collectively lift and move a heavy object to a designated location.,Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_lift: Action node - coordinates the lift with other robots. lift_object: Action node - lifts the heavy object. move_with_object: Action node - moves with the heavy object. designated_location: Condition node - checks if the robot has reached the designated location.,Work together with other robots to collectively lift and move a heavy object to a designated location.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_lift</Action>
<Sequence>
<Condition>designated_location</Condition>
<Action>lift_object</Action>
<Action>move_with_object</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
"Go to a specific location and deposit a package, while avoiding any potential collisions.",Use the following behaviors to generate XML Behavior tree based on the user command: go_to_location: Subtree node - uses move_to_target to reach the designated location. deposit_package: Action node - deposits a package at the designated location. avoid_collisions: Condition node - checks for any nearby obstacles.,"Go to a specific location and deposit a package, while avoiding any potential collisions.","
<BehaviorTree>
<Sequence>
<Action>go_to_location</Action>
<Sequence>
<Condition>avoid_collisions</Condition>
<Action>deposit_package</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Perform a task while maintaining a safe distance from a designated target.,Use the following behaviors to generate XML Behavior tree based on the user command: maintain_safe_distance: Subtree node - contains actions to maintain a safe distance from the target. perform_task: Action node - performs the designated task. designated_target: Condition node - checks if the agent has reached the designated target.,Perform a task while maintaining a safe distance from a designated target.,"
<BehaviorTree>
<Sequence>
<Action>maintain_safe_distance</Action>
<Sequence>
<Condition>designated_target</Condition>
<Action>perform_task</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Search for and rescue any stranded robots in the environment.,Use the following behaviors to generate XML Behavior tree based on the user command: search_for_stranded: Action node - searches for any stranded robots. coordinate_rescue: Action node - coordinates the rescue with other robots. rescue_robot: Action node - rescues the stranded robot. found_stranded: Condition node - checks if a stranded robot has been found.,Search for and rescue any stranded robots in the environment.,"
<BehaviorTree>
<Sequence>
<Action>search_for_stranded</Action>
<Sequence>
<Condition>found_stranded</Condition>
<Sequence>
<Action>coordinate_rescue</Action>
<Action>rescue_robot</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
"Work together with other robots to build a structure, assigning specific tasks to each robot.",Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_tasks: Action node - coordinates tasks with other robots. assign_task: Action node - assigns a specific task to the designated robot. perform_task: Subtree node - contains actions to perform the assigned task.,"Work together with other robots to build a structure, assigning specific tasks to each robot.","
<BehaviorTree>
<Sequence>
<Sequence>
<Action>coordinate_tasks</Action>
<Sequence>
<Action>assign_task</Action>
<Sequence>
<Condition>perform_task</Condition>
<Action>perform_task</Action>
</Sequence>
</Sequence>
</Sequence>
</Sequence>
</BehaviorTree>"
"Explore and map out a new environment, avoiding any potential hazards.",Use the following behaviors to generate XML Behavior tree based on the user command: explore_environment: Subtree node - contains actions to explore and map the environment using sensors and mapping algorithms. avoid_hazards: Condition node - checks for any potential hazards in the environment.,"Explore and map out a new environment, avoiding any potential hazards.","
<BehaviorTree>
<Sequence>
<Action>explore_environment</Action>
<Sequence>
<Condition>avoid_hazards</Condition>
</Sequence>
</Sequence>
</BehaviorTree>"
Continuously monitor and adjust the trajectory of the robot in order to maintain a specified altitude.,Use the following behaviors to generate XML Behavior tree based on the user command: monitor_altitude: Subtree node - uses sensors and autopilot systems to monitor and adjust the altitude. maintain_altitude: Action node - adjusts the trajectory to maintain the specified altitude. specified_altitude: Condition node - checks if the specified altitude has been reached.,Continuously monitor and adjust the trajectory of the robot in order to maintain a specified altitude.,"
<BehaviorTree>
<Sequence>
<Action>monitor_altitude</Action>
<Sequence>
<Condition>specified_altitude</Condition>
<Action>maintain_altitude</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Work together with other robots to collectively transport a heavy object through a narrow space.,Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_transport: Action node - coordinates the transport with other robots. transport_object: Action node - transports the heavy object. narrow_space: Condition node - checks if the robot has reached a narrow space and needs to coordinate with other robots.,Work together with other robots to collectively transport a heavy object through a narrow space.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_transport</Action>
<Sequence>
<Condition>narrow_space</Condition>
<Action>transport_object</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
"Defend a designated target from incoming attacks, while also attacking any nearby enemies.",Use the following behaviors to generate XML Behavior tree based on the user command: defend_target: Subtree node - contains actions to defend the designated target. attack_enemies: Action node - attacks any nearby enemies. incoming_attack: Condition node - checks for any incoming attacks from enemies.,"Defend a designated target from incoming attacks, while also attacking any nearby enemies.","
<BehaviorTree>
<Sequence>
<Action>defend_target</Action>
<Sequence>
<Condition>incoming_attack</Condition>
<Action>attack_enemies</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Coordinate with other robots to form a search grid and systematically search for a target object.,Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_search: Action node - coordinates with other robots to form a search grid. search_grid: Subtree node - uses move_to_target to search the designated grid area. found_object: Condition node - checks if the target object has been found.,Coordinate with other robots to form a search grid and systematically search for a target object.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_search</Action>
<Sequence>
<Condition>found_object</Condition>
<Action>search_grid</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Utilize visual recognition to identify and track a designated target.,Use the following behaviors to generate XML Behavior tree based on the user command: identify_target: Subtree node - uses visual recognition algorithms to identify the designated target. track_target: Action node - tracks the movement of the target. designated_target: Condition node - checks if the designated target is still in the field of view.,Utilize visual recognition to identify and track a designated target.,"
<BehaviorTree>
<Sequence>
<Action>identify_target</Action>
<Sequence>
<Condition>designated_target</Condition>
<Action>track_target</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Work together with other robots to form a coordinated defense against a swarm of incoming enemies.,Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_defense: Action node - coordinates with other robots to form a defensive strategy. defend_against_swarm: Subtree node - contains actions to defend against a swarm of enemies. enemy_approaching: Condition node - checks for any nearby enemies.,Work together with other robots to form a coordinated defense against a swarm of incoming enemies.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_defense</Action>
<Sequence>
<Condition>enemy_approaching</Condition>
<Action>defend_against_swarm</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Use sensors and mapping algorithms to navigate through a dark and complex environment.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_dark: Subtree node - uses sensors and mapping algorithms to navigate through a dark environment. handle_obstacles: Condition node - checks for any obstacles in the agent's path. handle_complexity: Condition node - checks for any complex features in the environment.,Use sensors and mapping algorithms to navigate through a dark and complex environment.,"
<BehaviorTree>
<Sequence>
<Action>navigate_dark</Action>
<Sequence>
<Condition>handle_obstacles</Condition>
<Action>handle_complexity</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Coordinate with other robots to triangulate the location of a target object using different sensor readings.,Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_triangulation: Action node - coordinates with other robots to pool sensor readings. calculate_location: Action node - uses sensor readings to triangulate the location of the target object. designated_target: Condition node - checks if the calculated location is accurate enough to be considered the target's location.,Coordinate with other robots to triangulate the location of a target object using different sensor readings.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_triangulation</Action>
<Sequence>
<Condition>designated_target</Condition>
<Action>calculate_location</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
"Use swarm intelligence to solve a maze, with each robot taking a different path and communicating with each other to find the exit.",Use the following behaviors to generate XML Behavior tree based on the user command: swarm_maze_solver: Subtree node - uses swarm intelligence to solve the maze. communicate_paths: Action node - each robot communicates their path to the others. choose_path: Action node - each robot selects the best path based on the communicated paths. found_exit: Condition node - checks if the exit has been found.,"Use swarm intelligence to solve a maze, with each robot taking a different path and communicating with each other to find the exit.","
<BehaviorTree>
<Sequence>
<Action>swarm_maze_solver</Action>
<Sequence>
<Condition>found_exit</Condition>
<Sequence>
<Action>communicate_paths</Action>
<Action>choose_path</Action>
</Sequence>
</Sequence>
</Sequence>
</BehaviorTree>"
'Gather all nearby objects and return to the starting point.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{gather_objects: 'Action node: Gather all nearby objects into a designated location.
Returns: True if all objects are gathered, False if objects are not gathered.', is_object_nearby: 'Condition node: Check if there are any objects nearby.
Returns: True if objects are nearby, otherwise False.', return_to_start: 'Action node: Return to the starting point from current location.
Returns: True if agent successfully returns to the starting point, otherwise False.'} to construct a behavior tree in XML format to the following command.",Gather all nearby objects and return to the starting point.,"
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>gather_objects</Action>
<Condition>is_object_nearby</Condition>
</Sequence>
<Action>return_to_start</Action>
</Selector>
</Sequence>
</BehaviorTree>"
'Perform random movements until a specific task is completed.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{perform_random_movements: 'Action node: Perform a series of random movements.
Returns: True if task is completed, False if task is not completed.', is_task_completed: 'Condition node: Check if the specific task has been completed.
Returns: True if task is completed, otherwise False.'} to construct a behavior tree in XML format to the following command.",Perform random movements until a specific task is completed.,"
<BehaviorTree>
<Sequence>
<Action>perform_random_movements</Action>
<Condition>is_task_completed</Condition>
</Sequence>
</BehaviorTree>"
'Avoid obstacles while reaching a designated goal.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{avoid_obstacles: 'Action node: Use obstacle avoidance algorithms to navigate around obstacles.
Returns: True if agent successfully avoids obstacles, False if agent collides with obstacles.', is_goal_reached: 'Condition node: Check if the designated goal has been reached.
Returns: True if goal is reached, otherwise False.', reach_goal: 'Action node: Move towards the designated goal.
Returns: True if agent successfully reaches goal, False if agent fails to reach goal.'} to construct a behavior tree in XML format to the following command.",Avoid obstacles while reaching a designated goal.,"
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>avoid_obstacles</Action>
<Condition>is_goal_reached</Condition>
</Sequence>
<Action>reach_goal</Action>
</Selector>
</Sequence>
</BehaviorTree>"
'Patrol a designated area while avoiding collisions with other agents.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{patrol_area: 'Action node: Patrol a designated area.
Returns: True if patrol is completed successfully, False if agent is unable to complete patrol.', avoid_collisions: 'Action node: Use collision avoidance algorithms to avoid collisions with other agents.
Returns: True if agent successfully avoids collisions, False if agent collides with other agents.'} to construct a behavior tree in XML format to the following command.",Patrol a designated area while avoiding collisions with other agents.,"
<BehaviorTree>
<Sequence>
<Action>patrol_area</Action>
<Selector>
<Sequence>
<Action>avoid_collisions</Action>
<Condition>is_collision_detected</Condition>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
'Search for a specific object and retrieve it.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{search_object: 'Action node: Search the area for a specific object.
Returns: True if object is found, False if object is not found.', retrieve_object: 'Action node: Retrieve the specific object.
Returns: True if object is retrieved, False if object retrieval fails.'} to construct a behavior tree in XML format to the following command.",Search for a specific object and retrieve it.,"
<BehaviorTree>
<Sequence>
<Action>search_object</Action>
<Action>retrieve_object</Action>
</Sequence>
</BehaviorTree>"
'Follow a designated leader while maintaining a specified distance.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{follow_leader: 'Action node: Follow the designated leader.
Returns: True if agent successfully follows the leader, False if agent fails to follow the leader.', maintain_distance: 'Action node: Maintain a specified distance from the leader.
Returns: True if agent maintains distance, False if agent gets too close or too far from the leader.'} to construct a behavior tree in XML format to the following command.",Follow a designated leader while maintaining a specified distance.,"
<BehaviorTree>
<Sequence>
<Action>follow_leader</Action>
<Action>maintain_distance</Action>
</Sequence>
</BehaviorTree>"
'Coordinate actions with neighboring agents to build a structure.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{coordinate_actions: 'Action node: Communicate and coordinate with neighboring agents to build a structure.
Returns: True if structure is successfully built, False if coordination fails.', build_structure: 'Action node: Use designated tools and materials to build the structure.
Returns: True if structure is successfully built, False if building process fails.'} to construct a behavior tree in XML format to the following command.",Coordinate actions with neighboring agents to build a structure.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_actions</Action>
<Action>build_structure</Action>
</Sequence>
</BehaviorTree>"
'Escape from a dangerous situation.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{find_escape_route: 'Action node: Use mapping and path planning algorithms to find an escape route.
Returns: True if escape route is found, False if no escape route is available.', follow_escape_route: 'Action node: Follow the designated escape route.
Returns: True if agent successfully escapes, False if agent fails to follow the escape route.'} to construct a behavior tree in XML format to the following command.",Escape from a dangerous situation.,"
<BehaviorTree>
<Sequence>
<Action>find_escape_route</Action>
<Action>follow_escape_route</Action>
</Sequence>
</BehaviorTree>"
'Monitor energy levels and recharge when necessary.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{check_energy_levels: 'Condition node: Check the energy levels of the agent.
Returns: True if energy levels are below a certain threshold, False if energy levels are above the threshold.', recharge: 'Action node: Return to a designated charging station and recharge.
Returns: True if charging is successful, False if charging fails.'} to construct a behavior tree in XML format to the following command.",Monitor energy levels and recharge when necessary.,"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>check_energy_levels</Condition>
<Action>recharge</Action>
</Sequence>
<Action>continue_patrol</Action>
</Selector>
</BehaviorTree>"
'Collect and transport objects to a specified location.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{collect_objects: 'Action node: Collect objects located in the surrounding area.
Returns: True if all objects are collected, False if collection process fails.', transport_objects: 'Action node: Transport collected objects to a specified location.
Returns: True if all objects are successfully transported, False if transport process fails.'} to construct a behavior tree in XML format to the following command.",Collect and transport objects to a specified location.,"
<BehaviorTree>
<Sequence>
<Action>collect_objects</Action>
<Action>transport_objects</Action>
</Sequence>
</BehaviorTree>"
'Cooperate with other agents to navigate through a maze.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{communicate_with_teammates: 'Action node: Use communication protocols to send and receive information from other agents.
Returns: True if successful communication is established, False if communication fails.', navigate_maze: 'Action node: Use mapping and path planning algorithms to navigate through the maze.
Returns: True if agent successfully reaches the designated end point, False if agent gets lost or stuck.'} to construct a behavior tree in XML format to the following command.",Cooperate with other agents to navigate through a maze.,"
<BehaviorTree>
<Sequence>
<Action>communicate_with_teammates</Action>
<Action>navigate_maze</Action>
</Sequence>
</BehaviorTree>"
'Respond to external stimuli and take appropriate action.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{check_external_stimuli: 'Condition node: Check for any external stimuli, such as sound or light.
Returns: True if stimuli is detected, False if no stimuli is present.', respond_to_stimuli: 'Action node: Take appropriate action based on the type of stimuli detected.
Returns: True if agent successfully responds, False if response fails.'} to construct a behavior tree in XML format to the following command.",Respond to external stimuli and take appropriate action.,"
<BehaviorTree>
<Sequence>
<Condition>check_external_stimuli</Condition>
<Action>respond_to_stimuli</Action>
</Sequence>
</BehaviorTree>"
'Divide and conquer a large task with multiple agents.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{divide_task: 'Action node: Divide a large task into smaller sub-tasks.
Returns: True if task is successfully divided, False if division process fails.', delegate_sub_tasks: 'Action node: Assign each sub-task to a different agent and coordinate their efforts.
Returns: True if all sub-tasks are completed, False if any sub-task fails.'} to construct a behavior tree in XML format to the following command.",Divide and conquer a large task with multiple agents.,"
<BehaviorTree>
<Sequence>
<Action>divide_task</Action>
<Action>delegate_sub_tasks</Action>
</Sequence>
</BehaviorTree>"
'Perform designated tasks based on priority level.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{check_priority_level: 'Condition node: Check the priority level of the designated task.
Returns: True if priority level is high, False if priority level is low.', perform_high_priority: 'Action node: Perform the designated task with high priority level.
Returns: True if task is completed, False if task fails.', perform_low_priority: 'Action node: Perform the designated task with low priority level.
Returns: True if task is completed, False if task fails.'} to construct a behavior tree in XML format to the following command.",Perform designated tasks based on priority level.,"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>check_priority_level</Condition>
<Action>perform_high_priority</Action>
</Sequence>
<Action>perform_low_priority</Action>
</Selector>
</BehaviorTree>"
'Respond to power outages and continue operations.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{check_power_status: 'Condition node: Check the power status.
Returns: True if power is still available, False if power outage is detected.', continue_operations: 'Action node: Continue operations using alternative power sources.
Returns: True if operations can be continued, False if operations are halted.'} to construct a behavior tree in XML format to the following command.",Respond to power outages and continue operations.,"
<BehaviorTree>
<Sequence>
<Condition>check_power_status</Condition>
<Action>continue_operations</Action>
</Sequence>
</BehaviorTree>"
'Stick together as a group while exploring an unknown environment.',"Use the following behaviors to generate XML Behavior tree based on the user command:
{follow_designated_leader: 'Action node: Follow the designated leader at all times.
Returns: True if agent successfully follows the leader, False if agent fails to follow the leader.', explore_unknown_area: 'Action node: Use mapping and exploration algorithms to explore the unknown environment.
Returns: True if agent successfully explores the designated area, False if exploration fails.'} to construct a behavior tree in XML format to the following command.",Stick together as a group while exploring an unknown environment.,"
<BehaviorTree>
<Sequence>
<Action>follow_designated_leader</Action>
<Action>explore_unknown_area</Action>
</Sequence>
</BehaviorTree>"
